index,appId,image,title,current,currentPeak,allTimePeak,currentPrice,lowerPrice,description,exact,mainStory,portrait
1.,730,https://cdn.cloudflare.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1650327480,Counter-Strike: Global Offensive,"595,919","844,499","1,308,963",N/A,CLP$ 3200,"Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).",true,633h 53m ,/games/250px-Counter-Strike_Global_Offensive.jpg
2.,1599340,https://cdn.cloudflare.steamstatic.com/steam/apps/1599340/capsule_sm_120.jpg?t=1650787431,Lost Ark,"550,094","557,624","1,325,305",N/A,CLP$ 12000,"Embark on an odyssey for the Lost Ark in a vast, vibrant world: explore new lands, seek out lost treasures, and test yourself in thrilling action combat in this action-packed free-to-play RPG.",true,35h 37m ,/games/26127_Lost_Ark.jpg
3.,570,https://cdn.cloudflare.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1650903933,Dota 2,"473,538","634,652","1,295,114",N/A,N/A,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",true,1775h 32m ,/games/250px-DotA2.jpg
4.,1245620,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1650715426,ELDEN RING,"156,606","210,835","953,426",CLP$ 43000,CLP$ 43000,"THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",true,49h 38m ,/games/68151_Elden_Ring.jpg
5.,578080,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1650443273,PUBG: BATTLEGROUNDS,"131,358","450,479","3,257,248",N/A,CLP$ 5200,"Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.",false,N/A,N/A
6.,1172470,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/capsule_sm_120.jpg?t=1650666880,Apex Legends,"131,283","300,784","393,116",N/A,N/A,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",true,210h 39m ,/games/64753_Apex_Legends.jpg
7.,252490,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1650658646,Rust,"88,294","105,034","245,243",CLP$ 14900,CLP$ 3375,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.",true,59h 20m ,/games/rust_steam.jpg
8.,440,https://cdn.cloudflare.steamstatic.com/steam/apps/440/capsule_sm_120.jpg?t=1648775554,Team Fortress 2,"78,253","85,911","151,253",N/A,N/A,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",true,271h 53m ,/games/250px-Tf2_standalonebox.jpg
9.,271590,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1650914631,Grand Theft Auto V,"70,765","108,363","364,548",N/A,CLP$ 11534,"Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.",true,74%,/games/4064_Grand_Theft_Auto_V.jpg
10.,1569040,https://cdn.cloudflare.steamstatic.com/steam/apps/1569040/capsule_sm_120.jpg?t=1650647278,Football Manager 2022,"70,270","71,782","88,767",CLP$ 32000,CLP$ 21440,"The closest thing to real football management. FM22 brings new, progressive ways to find your winning edge, instill your footballing style and earn it on the pitch.",true,40h ,/games/98851_Football_Manager_2022.jpg
